Product_name,Count_Colour,Gender,Price_before_Promotion (£),Promotion_Percentage (%),Price_after_Promotion (£)
Nike CushionedTraining Crew Socks (3 Pairs),3,Unisex,10.95,,10.95
Nike Everyday CushionedTraining Crew Socks (6 Pairs),2,Unisex,19.95,,19.95
Nike Dri-FITMen's Fitness T-Shirt,4,Male,24.95,,24.95
Nike ChallengerMen's Dri-FIT 13cm (approx.) Brief-lined Running Shorts,3,Male,34.95,,34.95
Nike Dri-FIT MilerMen's Short-Sleeve Running Top,1,Male,32.95,,32.95
Nike Everyday CushionedTraining Ankle Socks (6 Pairs),2,Unisex,19.95,,19.95
Nike Sportswear Everyday EssentialCrew Socks (3 Pairs),3,Unisex,16.95,,16.95
Nike Dri-FITMen's 23cm (approx.) Woven Training Shorts,1,Male,32.95,,32.95
Nike Sportswear Standard IssueMen's Fleece Pullover Hoodie,1,Male,59.9,40.0,35.94
Nike Swoosh RunWomen's Short-Sleeve Running Top,4,Female,32.9,50.0,16.45
Nike Everyday Max CushionedTraining Crew Socks (3 Pairs),2,Unisex,13.95,,13.95
Nike Dri-FIT RunMen's 18cm (approx.) Running Shorts,1,Male,24.95,,24.95
Nike Sportswear Standard IssueMen's Cargo Trousers,1,Male,54.9,40.0,32.94
Nike Everyday LightweightTraining Ankle Socks (3 Pairs),3,Unisex,13.95,,13.95
Nike Pro 365Women's 13cm (approx.) Shorts,2,Female,27.95,,27.95
Nike OneWomen's Mid-Rise 18cm (approx.) Biker Shorts,2,Female,32.95,,32.95
Nike Sportswear Sport EssentialsMen's Poly-Knit Tracksuit,1,Male,79.9,40.0,47.94
Nike Pro Dri-FITMen's Short-Sleeve Top,2,Male,37.95,,37.95
Nike Everyday CushionedTraining Crew Socks (3 Pairs),3,Unisex,13.95,,13.95
Nike Tempo LuxeWomen's 2-In-1 Running Shorts,1,Female,39.95,,39.95
Nike ThermaMen's Therma-FIT Full-Zip Fitness Top,2,Male,69.95,,69.95
Nike MilerMen's Repel Running Jacket,2,Male,72.95,,72.95
Nike Therma-FIT RepelMen's Synthetic-Fill Running Jacket,2,Male,104.0,40.0,62.4
Nike Sportswear ClubMen's T-Shirt,13,Male,22.95,,22.95
Nike Dri-FIT PacerWomen's 1/4-Zip Sweatshirt,3,Female,39.95,,39.95
Nike ReadyMen's Dri-FIT Short-sleeve Fitness Top,1,Male,37.9,14.0,32.59
Nike Everyday CushionedTraining Ankle Socks (3 Pairs),3,Unisex,13.95,,13.95
Nike Pro Dri-FIT Flex Vent MaxMen's 21cm Training Shorts,2,Male,44.95,,44.95
NOCTAMen's Full-Zip Knit Top,1,Male,114.95,,114.95
Nike SportswearMen's T-Shirt,2,Male,22.95,,22.95
Nike OneWomen's Mid-Rise Leggings,2,Female,44.95,,44.95
Nike Sportswear Sport EssentialsMen's Woven Lined Flow Shorts,2,Male,37.9,14.0,32.59
Nike Sportswear Phoenix FleeceWomen's Over-Oversized Pullover Hoodie,3,Female,59.95,,59.95
England 2023 Stadium HomeMen's Nike Dri-FIT Football Shirt,0,Male,79.95,,79.95
Nike ChallengerMen's 2-in-1 Running Shorts,1,Male,39.95,,39.95
Nike ChallengerMen's 18cm (approx.) Brief-Lined Running Shorts,1,Male,34.95,,34.95
Nike Dri-FIT AcademyMen's Football Shorts,1,Male,27.9,10.0,25.11
Nike Sportswear Sport EssentialsMen's Fleece Tracksuit,1,Male,82.95,,82.95
Nike Everyday Plus CushionedTraining No-Show Socks (6 Pairs),1,Unisex,19.95,,19.95
Nike LightweightTraining No-Show Socks (3 Pairs),3,Unisex,9.95,,9.95
Nike MilerMen's Dri-FIT UV Short-Sleeve Running Top,6,Male,32.95,,32.95
Nike Rise 365Men's Dri-FIT Short-Sleeve Running Top,4,Male,39.95,,39.95
Liverpool F.C. 2023/24 Stadium ThirdMen's Nike Dri-FIT Football Shirt,0,Male,79.95,,79.95
Nike ProWomen's 8cm (approx.) Shorts,1,Female,34.95,,34.95
Nike Everyday PlusCushioned Crew Socks (6 Pairs),2,Unisex,22.95,,22.95
Nike Sportswear Sport EssentialsMen's Poly-Knit Tracksuit,3,Male,72.95,,72.95
Nike Everyday LightweightTraining No-Show Socks (6 Pairs),2,Unisex,17.95,,17.95
Nike Sportswear ClubMen's French Terry Crew,9,Male,54.95,,54.95
Nike ZenvyWomen's Gentle-Support High-Waisted 7/8 Leggings,17,Female,89.95,,89.95
Tottenham Hotspur Academy ProMen's Nike Full-Zip Knit Football Jacket,1,Male,79.95,,79.95
Liverpool F.C. EssentialWomen's Nike Football Fleece Pullover Hoodie,1,Female,64.95,,64.95
Phoenix Suns Icon Edition 2023/24Nike Dri-FIT NBA Swingman Jersey,1,Unisex,94.95,,94.95
Liverpool F.C. Revival ThirdMen's Nike Football Woven Jacket,1,Male,89.95,,89.95
Nike UniversaWomen's Medium-Support High-Waisted 7/8 Leggings with Pockets,9,Female,89.95,,89.95
Liverpool F.C. Academy Pro ThirdWomen's Nike Dri-FIT Football Pre-Match Top,1,Female,59.95,,59.95
Liverpool F.C. ThirdWomen's Nike Dri-FIT Football Jacket,1,Female,79.95,,79.95
Liverpool F.C. Sport Essentials WindrunnerMen's Nike Hooded Football Jacket,1,Male,99.95,,99.95
Liverpool F.C. Academy Pro ThirdMen's Nike Dri-FIT Football Pre-Match Top,1,Male,59.95,,59.95
NikeCourt Dri-FIT SlamWomen's Tennis Dress,1,Female,119.95,,119.95
NikeCourt Dri-FIT SlamMen's Tennis Shorts,3,Male,64.95,,64.95
Boston Celtics PracticeMen's Nike Dri-FIT NBA Long-Sleeve T-Shirt,1,Male,37.95,,37.95
Chelsea F.C. 2023/24 Stadium HomeMen's Nike Dri-FIT Football Shorts,1,Male,39.95,,39.95
Golden State Warriors PracticeMen's Nike Dri-FIT NBA Long-Sleeve T-Shirt,1,Male,37.95,,37.95
NikeCourt Dri-FIT SlamWomen's Tennis Tank Top,1,Female,69.95,,69.95
NikeCourt Dri-FIT SlamWomen's Printed Tennis Skirt,1,Female,87.95,,87.95
Brooklyn Nets PracticeMen's Nike Dri-FIT NBA Long-Sleeve T-Shirt,1,Male,37.95,,37.95
Chicago Bulls PracticeMen's Nike Dri-FIT NBA Long-Sleeve T-Shirt,1,Male,37.95,,37.95
NikeCourt Dri-FIT SlamWomen's Printed Tennis Tank Top,1,Female,69.95,,69.95
NikeCourt Dri-FIT ADV SlamMen's Tennis Polo,1,Male,87.95,,87.95
Los Angeles Lakers PracticeMen's Nike Dri-FIT NBA Long-Sleeve T-Shirt,1,Male,37.95,,37.95
Jordan SportMen's Golf Half-Zip Top,1,Male,89.95,,89.95
Chicago Bulls Starting 5Men's Nike Dri-FIT NBA Tracksuit,1,Male,119.95,,119.95
Chicago Bulls Starting 5Men's Nike Dri-FIT NBA Tracksuit,1,Male,119.95,,119.95
New York Knicks Starting 5Men's Nike Dri-FIT NBA Tracksuit,1,Male,119.95,,119.95
Los Angeles Lakers Starting 5Men's Nike Dri-FIT NBA Tracksuit,1,Male,119.95,,119.95
Team 31 Standard IssueMen's Nike Dri-FIT NBA Crew-Neck Sweatshirt,1,Male,72.95,,72.95
Los Angeles Lakers Starting 5Men's Nike Dri-FIT NBA Tracksuit,1,Male,119.95,,119.95
Golden State Warriors Starting 5Men's Nike Dri-FIT NBA Tracksuit,1,Male,119.95,,119.95
Los Angeles Lakers Standard IssueMen's Nike Dri-FIT Full-Zip Hoodie,1,Male,87.95,,87.95
Nike ProMen's Dri-FIT Fitness Tights,1,Male,37.95,,37.95
Nike OneWomen's Dri-FIT Mid-Rise 8cm (approx.) Brief-Lined Shorts,1,Female,37.95,,37.95
Nike Track ClubMen's Storm-FIT Running Jacket,1,Male,87.95,,87.95
Nike HyverseMen's Dri-FIT UV Short-sleeve Versatile Top,4,Male,34.95,,34.95
Nike Sportswear Club FleecePullover Hoodie,1,Unisex,54.9,29.0,38.98
Nike ReadyMen's Dri-FIT 1/4-zip Fitness Top,1,Male,49.95,,49.95
Nike Spark LightweightRunning Ankle Socks,2,Unisex,16.95,,16.95
Nike Dri-FIT StrikeMen's Short-Sleeve Football Top,1,Male,37.9,28.0,27.29
Nike Challenger Track ClubMen's Dri-FIT Running Trousers,1,Male,72.95,,72.95
Jordan EssentialsMen's Full-Zip Fleece Hoodie,1,Male,72.95,,72.95
