Product_name,Count_Colour,Price,Gender
Nike CushionedTraining Crew Socks (3 Pairs),3 Colours,£10.95,Training Crew Socks (3 Pairs)
Nike Everyday CushionedTraining Crew Socks (6 Pairs),2 Colours,£19.95,Training Crew Socks (6 Pairs)
Nike Dri-FITMen's Fitness T-Shirt,4 Colours,£24.95,Men's Fitness T-Shirt
Nike ChallengerMen's Dri-FIT 13cm (approx.) Brief-lined Running Shorts,3 Colours,£34.95,Men's Dri-FIT 13cm (approx.) Brief-lined Running Shorts
Nike Dri-FIT MilerMen's Short-Sleeve Running Top,1 Colour,£32.95,Men's Short-Sleeve Running Top
Nike Everyday CushionedTraining Ankle Socks (6 Pairs),2 Colours,£19.95,Training Ankle Socks (6 Pairs)
Nike Sportswear Everyday EssentialCrew Socks (3 Pairs),3 Colours,£16.95,Crew Socks (3 Pairs)
Nike Dri-FITMen's 23cm (approx.) Woven Training Shorts,1 Colour,£32.95,Men's 23cm (approx.) Woven Training Shorts
Nike Sportswear Standard IssueMen's Fleece Pullover Hoodie,1 Colour,£35.97£59.9540% off,Men's Fleece Pullover Hoodie
Nike Swoosh RunWomen's Short-Sleeve Running Top,4 Colours,£16.47£32.9550% off,Women's Short-Sleeve Running Top
Nike Everyday Max CushionedTraining Crew Socks (3 Pairs),2 Colours,£13.95,Training Crew Socks (3 Pairs)
Nike Dri-FIT RunMen's 18cm (approx.) Running Shorts,1 Colour,£24.95,Men's 18cm (approx.) Running Shorts
Nike Sportswear Standard IssueMen's Cargo Trousers,1 Colour,£32.97£54.9540% off,Men's Cargo Trousers
Nike Everyday LightweightTraining Ankle Socks (3 Pairs),3 Colours,£13.95,Training Ankle Socks (3 Pairs)
Nike Pro 365Women's 13cm (approx.) Shorts,2 Colours,£27.95,Women's 13cm (approx.) Shorts
Nike OneWomen's Mid-Rise 18cm (approx.) Biker Shorts,2 Colours,£32.95,Women's Mid-Rise 18cm (approx.) Biker Shorts
Nike Sportswear Sport EssentialsMen's Poly-Knit Tracksuit,1 Colour,£47.97£79.9540% off,Men's Poly-Knit Tracksuit
Nike Pro Dri-FITMen's Short-Sleeve Top,2 Colours,£37.95,Men's Short-Sleeve Top
Nike Everyday CushionedTraining Crew Socks (3 Pairs),3 Colours,£13.95,Training Crew Socks (3 Pairs)
Nike Tempo LuxeWomen's 2-In-1 Running Shorts,1 Colour,£39.95,Women's 2-In-1 Running Shorts
Nike ThermaMen's Therma-FIT Full-Zip Fitness Top,2 Colours,£69.95,Men's Therma-FIT Full-Zip Fitness Top
Nike MilerMen's Repel Running Jacket,2 Colours,£72.95,Men's Repel Running Jacket
Nike Therma-FIT RepelMen's Synthetic-Fill Running Jacket,2 Colours,£62.97£104.9540% off,Men's Synthetic-Fill Running Jacket
Nike Sportswear ClubMen's T-Shirt,13 Colours,£22.95,Men's T-Shirt
Nike Dri-FIT PacerWomen's 1/4-Zip Sweatshirt,3 Colours,£39.95,Women's 1/4-Zip Sweatshirt
Nike ReadyMen's Dri-FIT Short-sleeve Fitness Top,1 Colour,£32.47£37.9514% off,Men's Dri-FIT Short-sleeve Fitness Top
Nike Everyday CushionedTraining Ankle Socks (3 Pairs),3 Colours,£13.95,Training Ankle Socks (3 Pairs)
Nike Pro Dri-FIT Flex Vent MaxMen's 21cm Training Shorts,2 Colours,£44.95,Men's 21cm Training Shorts
NOCTAMen's Full-Zip Knit Top,1 Colour,£114.95,Men's Full-Zip Knit Top
Nike SportswearMen's T-Shirt,2 Colours,£22.95,Men's T-Shirt
Nike OneWomen's Mid-Rise Leggings,2 Colours,£44.95,Women's Mid-Rise Leggings
Nike Sportswear Sport EssentialsMen's Woven Lined Flow Shorts,2 Colours,£32.47£37.9514% off,Men's Woven Lined Flow Shorts
Nike Sportswear Phoenix FleeceWomen's Over-Oversized Pullover Hoodie,3 Colours,£59.95,Women's Over-Oversized Pullover Hoodie
England 2023 Stadium HomeMen's Nike Dri-FIT Football Shirt,Players Available,£79.95,Men's Nike Dri-FIT Football Shirt
Nike ChallengerMen's 2-in-1 Running Shorts,1 Colour,£39.95,Men's 2-in-1 Running Shorts
Nike ChallengerMen's 18cm (approx.) Brief-Lined Running Shorts,1 Colour,£34.95,Men's 18cm (approx.) Brief-Lined Running Shorts
Nike Dri-FIT AcademyMen's Football Shorts,1 Colour,£24.97£27.9510% off,Men's Football Shorts
Nike Sportswear Sport EssentialsMen's Fleece Tracksuit,1 Colour,£82.95,Men's Fleece Tracksuit
Nike Everyday Plus CushionedTraining No-Show Socks (6 Pairs),1 Colour,£19.95,Training No-Show Socks (6 Pairs)
Nike LightweightTraining No-Show Socks (3 Pairs),3 Colours,£9.95,Training No-Show Socks (3 Pairs)
Nike MilerMen's Dri-FIT UV Short-Sleeve Running Top,6 Colours,£32.95,Men's Dri-FIT UV Short-Sleeve Running Top
Nike Rise 365Men's Dri-FIT Short-Sleeve Running Top,4 Colours,£39.95,Men's Dri-FIT Short-Sleeve Running Top
Liverpool F.C. 2023/24 Stadium ThirdMen's Nike Dri-FIT Football Shirt,Players Available,£79.95,Men's Nike Dri-FIT Football Shirt
Nike ProWomen's 8cm (approx.) Shorts,1 Colour,£34.95,Women's 8cm (approx.) Shorts
Nike Everyday PlusCushioned Crew Socks (6 Pairs),2 Colours,£22.95,Cushioned Crew Socks (6 Pairs)
Nike Sportswear Sport EssentialsMen's Poly-Knit Tracksuit,3 Colours,£72.95,Men's Poly-Knit Tracksuit
